Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
garage_UI_OnYouMoney,"ON YOU: ","ON YOU: ","na tobě: ","Im Inventar: ","NALIK: ","na Ciebie: ","rajtad: ","su di te: ","en ti: ","sur toi: ","在你身上: ","あなたに: ","em você: ","在你身上: ",
garage_UI_PriceParkOut,"PRICE TO PARK OUT: ","PRICE TO PARK OUT: ","cena zaparkovat: ","Preis zum Ausparken: ","CENA: ","Cena za parkowanie: ","Ár parkolni: ","Prezzo per parcheggiare fuori: ","Precio para aparcar: ","Prix pour se garer: ","價格停在: ","駐車するための価格: ","Preço para estacionar: ","价格停在: ",
garage_UI_YOURGARAGE,YOUR GARAGE,YOUR GARAGE,vaše garáž,Deine Garage,GARAGE,Twój garaż,A garázsod,Il tuo garage,Tu garaje,Votre garage,您的車庫,あなたのガレージ,Sua garagem,您的车库,
garage_UI_AvaibleCars,"AVAILABLE CARS: ","AVAILABLE CARS: ","auta k dispozici: ","Geparkte Autos: ",AUTO,"Dostępne samochody: ","Elérhető autók: ""","Auto disponibili: ","Autos disponibles: ","Voitures disponibles: ","可用車: ","利用可能な車: ","Carros Disponíveis: ","可用车: ",
garage_UI_BtnParkOut,PARK OUT,PARK OUT,zaparkovat,ausparken,ZABRAL,zaparkować,parkolj ki,parcheggiare,aparcar,se garer,停放,駐車する,estacionar,停放,
garage_UI_BtnParkIn,PARK IN,PARK IN,park,einparken,POSTAVIL,zaparkuj w,parkoljon be,parcheggiare,aparcar en,se garer dans,停放在,に駐車する,estacionar em,停放在,
garage_UI_Message_ParkingOutWithBank,Parking out with Bank?,Parking out with Bank?,Parkování s bankou?,Mit Bankkonto bezahlen?,Parkovka u banka?,Parkujesz z Bankiem?,Parkolni a Banknál?,Parcheggiare con la banca?,¿Aparcar con el banco?,Vous garer avec la banque?,在銀行停車嗎?,銀行と一緒に駐車しますか？,Estacionar com o banco?,在银行停车吗？,
garage_UI_Message_ParkingInWithBank,Parking in with Bank?,Parking in with Bank?,Parkování se svými penězi na vašem bankovním účtu,Mit Bankkonto bezahlen?,Parkovka u banka?,Parkujesz w banku?,Parkolni a Banknál?,Parcheggiare in banca?,¿Estacionarse en el banco?,Vous garer avec la banque?,在銀行停車嗎？,銀行と一緒に駐車しますか？,Estacionamento com banco?,在银行停车吗？,
garage_UI_Message_NotEnoughCashOnPlayer,"You have not enough money in your inventory, do you want to pay with your Bank account?","You have not enough money in your inventory, do you want to pay with your Bank account?","Ve svém inventáři nemáte dostatek peněz, chcete platit bankovním účtem?",Du hast nicht genug Geld bei dir. Möchtest du mit deinem Bankkonto bezahlen?,"U vas nedostatočno deneg v inventare, vy hotite zaplatitʹ so svoego bankovskogo sčeta","Masz za mało pieniędzy w swoim ekwipunku, czy chcesz zapłacić swoim kontem bankowym?","Nincs elég pénze a készletben, szeretne bankszámlájával fizetni?","Non hai abbastanza soldi nel tuo inventario, vuoi pagare con il tuo conto in banca?","No tienes suficiente dinero en tu inventario, ¿quieres pagar con tu cuenta bancaria?","Vous n'avez pas assez d'argent dans votre inventaire, souhaitez-vous payer avec votre compte bancaire?",您的庫存中沒有足夠的資金，您想用您的銀行帳戶付款嗎？,在庫に十分なお金がありません。銀行口座で支払いますか？,"Você não tem dinheiro suficiente em seu estoque, deseja pagar com sua conta bancária?",您的库存中没有足够的资金，您想用您的银行帐户付款吗？,
garage_UI_Message_NoCarSelected,"No car selected, please select one in the List!","No car selected, please select one in the List!","Není vybráno žádné auto, vyberte prosím jedno ze seznamu!",Du hast kein Auto markiert. Bitte markiere ein Auto in der Liste!,"Avtomobilʹ ne vybran, vyberite ego v spiske!","Nie wybrano samochodu, wybierz go z listy!","Nincs kiválasztva autó, kérjuek, válasszon egyet a listából!","Nessuna auto selezionata, selezionane una dall'elenco!","Ningún coche seleccionado, por favor seleccione uno en la lista.","Aucune voiture sélectionnée, veuillez en sélectionner une dans la liste!",未選擇汽車，請在列表中選擇一個！,車が選択されていません。リストから1台選択してください。,"Nenhum carro selecionado, selecione um na lista!",未选择汽车，请在列表中选择一个！,
garage_UI_Message_ToFast,TOO FAST,TOO FAST,Příliš rychle,Zu schnell,SLIŠKOM BYSTRO,za szybko,túl gyors,troppo veloce,Demasiado rápida,Trop vite,太快,早過ぎる,Muito rápido,太快,
garage_UI_Message_ClickToFast,Relax with clicking bro!,Relax with clicking bro!,Relaxujte kliknutím na brácho!,Nicht so schnell Bro!,"Rasslabʹtesʹ, ŝelkaja bratan","Zrelaksuj się, klikając, stary!",Pihenjen a tesó kattintásával!,Rilassati con cliccando fratello!,"¡Relájate haciendo clic, hermano!",Détendez-vous en cliquant sur bro!,"單擊兄弟放""鬆！",仲間をクリックしてリラックス！,Relaxe clicando mano!,单击兄弟放松！,
garage_UI_Message_NotEnoughMoneyServer,"Sorry, but you dont have enough money to do this! Money needed: ","Sorry, but you dont have enough money to do this! Money needed: ","Omlouváme se, ale nemáte na to dost peněz! Potřebné peníze: ","Du hast nicht genug Geld! Du brauchst: ","Izvinite, no u vas nedostatočno deneg dlja ètogo! Trebujutsja denʹgi: ","Przepraszamy, ale nie masz wystarczająco dużo pieniędzy, aby to zrobić! Potrzebne pieniądze: ","Elnézést, de nincs elég pénzed erre! Szuekséges pénz: ","Scusa, ma non hai abbastanza soldi per farlo! Soldi necessari: ","Lo siento, pero no tienes suficiente dinero para hacer esto. Dinero necesario: ","Désolé, mais vous n’avez pas assez d’argent pour faire ça! Argent nécessaire: ","抱歉，但是您沒有足夠的錢來執行此操作！所需資金： ","申し訳ありませんが、これを行うのに十分なお金がありません！必要なお金： ","Desculpe, mas você não tem dinheiro suficiente para fazer isso! Dinheiro necessário: ","抱歉，但是您没有足够的钱来执行此操作！所需资金： ",
garage_UI_Message_GarageFull,"Sorry, but your Garage is already full!","Sorry, but your Garage is already full!","Omlouváme se, ale vaše garáž je již plná!","Tut mir leid, aber deine Garage ist voll!","Izvinite, no vaš garaž uže zapolnen!","Przepraszamy, ale Twój garaż jest już pełny!","Bocs, de a Garázsod már megtelt!","Scusa, ma il tuo Garage è già pieno!","Lo sentimos, pero tu garaje ya está lleno.","Désolé, mais votre garage est déjà plein!",抱歉，您的車庫已經滿了！,申し訳ありませんが、あなたのガレージはすでにいっぱいです！,"Desculpe, mas sua garagem já está cheia!",抱歉，您的车库已经满了！,
garage_UI_Message_ERROR,ERROR,ERROR,Chyba,Error,ošibka,Błąd,Hiba,Errore,Error,Erreur,錯誤,エラー,Erro,错误,
garage_UI_Message_WARNING,WARNING,WARNING,Varování,Warnung,Predupreždenie,Ostrzeżenie,Figyelem,avvertimento,Advertencia,Attention,警告,警告,Atenção,警告,
garage_UI_Message_SUCESSFULLY,SUCESSFULLY,SUCESSFULLY,ÚSPĚŠNĚ,Erfolgreich,POLNOSTʹJu,z powodzeniem,sikeresen,con successo,exitosamente,avec succès,成功地,正常に,com sucesso,成功地,
garage_UI_Message_NoInventory,NO INVENTORY SAFE,NO INVENTORY SAFE,ŽÁDNÝ BEZPEČNÝ ZÁSOB,Inventar nicht gesichert,OTSUTSTVIE BEZOPASNOSTI INVENTARJa,Brak bezpiecznego zapasów,Nincs raktári széf,Nessun inventario sicuro,Sin inventario seguro,Aucun inventaire sûr,無庫存安全,安全な在庫なし,Sem inventário seguro,无库存安全,
garage_UI_Message_WarningInvWipe,"The inventory storage function is not activated on this server! If you park in your car, your inventory will be lost!","The inventory storage function is not activated on this server! If you park in your car, your inventory will be lost!","Funkce úložiště není na tomto serveru aktivována! Pokud zaparkujete v autě, váš inventář bude ztracen!","Die Inventarspeicherfunktion ist auf diesem Server nicht aktiviert! Wenn sie ihr Auto einparken, geht ihr Inventar verloren!","Na ètom servere ne aktivirovana funkcija hranenija inventarja! Esli vy priparkuetesʹ v mašine, vaš inventarʹ propadet!","Funkcja przechowywania zapasów nie jest aktywowana na tym serwerze! Jeśli zaparkujesz w samochodzie, Twój ekwipunek zostanie utracony!","A készlet tárolási funkció nincs aktiválva ezen a szerveren! Ha az autójában parkol, a készlet elveszik!","La funzione di archiviazione dell'inventario non è attivata su questo server! Se parcheggi in macchina, il tuo inventario andrà perso!","¡La función de almacenamiento de inventario no está activada en este servidor! Si estacionas en tu coche, ¡perderás tu inventario!","La fonction de stockage d'inventaire n'est pas activée sur ce serveur! Si vous vous garez dans votre voiture, votre inventaire sera perdu!",在此服務器上未激活庫存存儲功能！如果您將車停在車上，您的庫存將會丟失！,このサーバーでは在庫保管機能が有効になっていません！車に駐車すると在庫がなくなります！,"A função de armazenamento de inventário não está ativada neste servidor! Se você estacionar em seu carro, seu inventário será perdido!",在此服务器上未激活库存存储功能！如果您将车停在车上，您的库存将会丢失！,
garage_UI_Message_ErrorNoVHFound,Could not found your Vehicle in the Parkingarea,Could not found your Vehicle in the Parkingarea,Nepodařilo se vám najít vaše vozidlo na parkovišti,Dein Auto steht nicht auf dem Parkplatz,Ne udalosʹ najti svoj avtomobilʹ na parkovke,Nie udało się znaleźć Twojego pojazdu na parkingu,Nem található a jármű a parkolóban,"Impossibile trovare il tuo veicolo nell'area di parcheggio"".""No se pudo encontrar su vehículo en el área de estacionamiento",Impossible de trouver votre véhicule dans la zone de stationnement,在停車場找不到您的車輛,駐車場であなたの車を見つけることができませんでした,Não foi possível encontrar seu veículo na área de estacionamento,Não foi possível encontrar seu veículo na área de estacionamento,在停车区中找不到您的车辆,
garage_UI_Message_VHInvFull,"Your car Inventory is full, the Items dropped on the Ground","Your car Inventory is full, the Items dropped on the Ground","Inventář vašeho vozu je plný, předměty spadly na zem","Dein Autoinventar ist voll, die Items liegen auf dem Boden","Inventarʹ vašego avtomobilja zapolnen, predmety upali na zemlju","Twój ekwipunek samochodu jest pełny, przedmioty upuszczone na ziemię","A kocsikészlete megtelt, az Elemek a földre estek","L'inventario della tua auto è pieno, gli oggetti sono caduti a terra","El inventario de tu coche está lleno, los artículos cayeron al suelo","Votre inventaire de voiture est plein, les objets déposés au sol",您的汽車庫存已滿，物品掉落在地上,あなたの車の在庫がいっぱいで、アイテムが地面に落ちました,"O estoque do seu carro está cheio, os itens caídos no chão",您的汽车库存已满，物品掉落在地上,
garage_UI_Message_VehicleSpawnBlocked,"Vehicle spawn was blocked by: ","Vehicle spawn was blocked by: ","Vytvoření vozidla bylo zablokováno: ","Fahrzeugspawn wurde blockiert durch: ","Vozroždenie transporta zablokirovano: ","Pojawienie się pojazdów zostało zablokowane przez: ","A jármű ívét blokkolta: ","Lo spawn del veicolo è stato bloccato da: ","La generación de vehículos fue bloqueada por: ","L'apparition du véhicule a été bloquée par: ","車輛生成被以下因素阻止: ","ビークルのスポーンは以下によってブロックされました： ","A geração do veículo foi bloqueada por: ","车辆生成被以下因素阻止： ",
garage_UI_Message_BtnYes,Yes,Yes,Ano,Ja,da,tak,Igen,sì,si,Oui,是,はい,sim,是,
garage_UI_Message_BtnNo,No,No,Ne,Nein,net,Nie,nem,no,No,non,沒有,番号,não,没有,
garage_UI_Message_WasNotLastDriver,You were not the last driver of the car please start the engine before parking!,You were not the last driver of the car please start the engine before parking!,"Nebyli jste posledním řidičem automobilu, prosím zapněte motor před zaparkováním!",Du warst nicht der letze Fahrer des Autos bitte starte den Motor vor dem einparken!,"Vy byli ne poslednim voditelem mašiny, požalujsta, zavodite dvigatelʹ pered parkovkoj!","Nie byłeś ostatnim kierowcą samochodu, proszę odpalić silnik przed zaparkowaniem!","Nem te voltál az autó utolsó sofőrje, parkolás előtt indítsd be a motort!",Non sei stato l'ultimo guidatore della macchina per favore avvia il motore prima di parcheggiare!,"Usted no fue el último conductor del automóvil, por favor encienda el motor antes de estacionar.","Vous n'étiez pas le dernier conducteur de la voiture, veuillez démarrer le moteur avant de vous garer!",您不是汽車的最後駕駛員，請在停車前啟動發動機！,あなたは車の最後の運転手ではありませんでした駐車する前にエンジンを始動してください！,"Você não foi o último motorista do carro, ligue o motor antes de estacionar!",您不是汽车的最后驾驶员，请在停车前启动发动机!,